REGION,YEAR,WEEK,SEASON,TOTAL_PATIENTS_ILI_SYMPTOMS,PROVIDERS_ATTENDING_TO_ILI,WEIGHTED,%UNWEIGHTED ILI,TOTAL SPECIMENS,PERCENT POSITIVE,Non Influenza weeks,WeightedILIPCT
Region 9,2011,41,Autumn,90657,214,1.738342444,1.103058782,302,1.986754967,TRUE,1.738342444
Region 10,2011,41,Autumn,17893,52,0.69926472,0.83831666,207,0.483091787,TRUE,0.69926472
Region 1,2011,42,Autumn,56237,159,0.630233595,0.677489909,63,0,TRUE,0.630233595
Region 2,2011,42,Autumn,119982,216,0.933331133,1.511059992,364,0.549450549,TRUE,0.933331133
Region 3,2011,42,Autumn,119663,222,1.100103855,1.181651805,476,0.210084034,TRUE,1.100103855
Region 4,2011,42,Autumn,142647,361,1.234064316,1.25554691,626,2.076677316,FALSE,
Region 5,2011,42,Autumn,101059,295,1.050255281,1.193362293,279,0.358422939,TRUE,1.050255281
Region 6,2011,42,Autumn,68083,162,1.943577907,2.021062527,524,0.572519084,TRUE,1.943577907
Region 7,2011,42,Autumn,24987,99,0.761473601,0.736382919,207,0,TRUE,0.761473601
Region 8,2011,42,Autumn,57558,127,0.807496697,0.894749644,391,0.255754476,TRUE,0.807496697
Region 9,2011,42,Autumn,86004,211,2.007112536,1.3336589,272,2.205882353,FALSE,
Region 10,2011,42,Autumn,18775,53,0.581540201,0.697736352,223,0.448430493,TRUE,0.581540201
Region 1,2011,43,Autumn,56152,158,0.676541826,0.769340362,56,1.785714286,TRUE,0.676541826
Region 2,2011,43,Autumn,118429,213,0.919836939,1.538474529,353,0.283286119,TRUE,0.919836939
Region 3,2011,43,Autumn,116377,223,1.251081215,1.295788687,429,0,TRUE,1.251081215
Region 4,2011,43,Autumn,134435,360,1.278308744,1.332242348,807,2.726146221,FALSE,
Region 5,2011,43,Autumn,102723,294,0.998187012,1.158455263,332,0,TRUE,0.998187012
Region 6,2011,43,Autumn,69348,153,1.872127058,2.001499683,557,0.718132855,TRUE,1.872127058
Region 7,2011,43,Autumn,28461,102,0.961229272,0.983802396,243,0,TRUE,0.961229272
Region 8,2011,43,Autumn,56687,125,0.856543915,0.947307143,413,0.484261501,TRUE,0.856543915
Region 9,2011,43,Autumn,86851,215,1.958150213,1.377071076,342,2.923976608,FALSE,
Region 10,2011,43,Autumn,19377,57,0.653305978,0.79475667,217,1.843317972,TRUE,0.653305978
Region 1,2011,44,Autumn,56050,157,0.681777781,0.802854594,146,0,TRUE,0.681777781
Region 2,2011,44,Autumn,121347,221,1.155777886,1.831936513,359,0,TRUE,1.155777886
Region 3,2011,44,Autumn,114845,230,1.282694285,1.346162219,474,0.210970464,TRUE,1.282694285
Region 4,2011,44,Autumn,136365,349,1.520042964,1.48131852,793,1.891551072,TRUE,1.520042964
Region 5,2011,44,Autumn,102668,299,1.091597004,1.267191335,322,1.552795031,TRUE,1.091597004
Region 6,2011,44,Autumn,72770,164,1.865789292,2.022811598,628,0.636942675,TRUE,1.865789292
Region 7,2011,44,Autumn,27835,104,1.140834426,1.088557571,268,0.373134328,TRUE,1.140834426
Region 8,2011,44,Autumn,55183,127,0.934150611,1.072794158,444,0.45045045,TRUE,0.934150611
Region 9,2011,44,Autumn,79289,218,2.158991991,1.654706201,404,1.732673267,TRUE,2.158991991
Region 10,2011,44,Autumn,17982,56,0.823120683,0.984317651,237,1.687763713,TRUE,0.823120683
Region 1,2011,45,Autumn,58226,162,0.722185764,0.808916979,212,0,TRUE,0.722185764
Region 2,2011,45,Autumn,123437,221,1.075924642,1.821171934,414,0.241545894,TRUE,1.075924642
Region 3,2011,45,Autumn,117628,232,1.379321252,1.429081511,523,0,TRUE,1.379321252
Region 4,2011,45,Autumn,144051,371,1.515657541,1.550145435,875,2.971428571,FALSE,
Region 5,2011,45,Autumn,100894,299,1.117708366,1.243879715,358,0.837988827,TRUE,1.117708366
Region 6,2011,45,Autumn,68090,153,2.022779053,2.069320018,476,0.630252101,TRUE,2.022779053
Region 7,2011,45,Autumn,28409,104,0.909380213,0.897602872,249,0.401606426,TRUE,0.909380213
Region 8,2011,45,Autumn,55188,126,0.963464467,1.087192868,525,1.904761905,TRUE,0.963464467
Region 9,2011,45,Autumn,83872,224,1.892028626,1.418828691,451,0.88691796,TRUE,1.892028626
Region 10,2011,45,Autumn,18044,54,0.662244973,0.853469297,243,0.411522634,TRUE,0.662244973
Region 1,2011,46,Autumn,59692,159,0.584198441,0.65502915,192,0,TRUE,0.584198441
Region 2,2011,46,Autumn,123159,211,1.159228886,1.85532523,435,0.689655172,TRUE,1.159228886
Region 3,2011,46,Autumn,116690,225,1.406452418,1.4234296,500,0.4,TRUE,1.406452418
Region 4,2011,46,Autumn,137456,355,1.414303722,1.462286113,960,1.979166667,TRUE,1.414303722
Region 5,2011,46,Autumn,101172,297,1.020626801,1.220693473,373,0.536193029,TRUE,1.020626801
Region 6,2011,46,Autumn,71176,156,2.229274525,2.309767337,601,0,TRUE,2.229274525
Region 7,2011,46,Autumn,27961,102,0.839903425,0.7868102,275,1.818181818,TRUE,0.839903425
Region 8,2011,46,Autumn,56499,124,1.014345685,1.092054727,522,0.957854406,TRUE,1.014345685
Region 9,2011,46,Autumn,89971,219,2.270284302,1.630525392,458,1.310043668,TRUE,2.270284302
Region 10,2011,46,Autumn,17818,52,0.902773287,1.071949714,264,0.757575758,TRUE,0.902773287
Region 1,2011,47,Autumn,38466,154,0.671443025,0.870898976,194,1.546391753,TRUE,0.671443025
Region 2,2011,47,Autumn,103776,210,1.299384457,2.22209374,404,0.247524752,TRUE,1.299384457
Region 3,2011,47,Autumn,98416,227,1.563813837,1.510933182,410,0.975609756,TRUE,1.563813837
Region 4,2011,47,Autumn,113748,367,1.659705235,1.700249675,871,4.247990815,FALSE,
Region 5,2011,47,Autumn,76745,299,1.245688431,1.49325689,282,0,TRUE,1.245688431
Region 6,2011,47,Autumn,55332,154,2.142622126,2.342225114,628,1.27388535,TRUE,2.142622126
Region 7,2011,47,Autumn,19581,104,0.862174111,0.847760584,205,0.975609756,TRUE,0.862174111
Region 8,2011,47,Autumn,45822,128,1.058160301,1.265767535,482,2.489626556,FALSE,
Region 9,2011,47,Autumn,62168,221,2.205065575,1.589242054,410,1.463414634,TRUE,2.205065575
Region 10,2011,47,Autumn,12677,54,1.07526273,1.096473929,222,0.900900901,TRUE,1.07526273
Region 1,2011,48,Autumn,58157,157,0.624268519,0.741097374,189,0,TRUE,0.624268519
Region 2,2011,48,Autumn,121406,205,1.30750855,2.19346655,458,0,TRUE,1.30750855
Region 3,2011,48,Autumn,113792,222,1.473720688,1.52822694,482,0,TRUE,1.473720688
Region 4,2011,48,Autumn,139774,366,1.297459696,1.367207063,1015,3.15270936,FALSE,
Region 5,2011,48,Autumn,99020,298,1.059454561,1.220965462,378,1.322751323,TRUE,1.059454561
Region 6,2011,48,Autumn,67339,153,2.152717626,2.242385542,655,0.458015267,TRUE,2.152717626
Region 7,2011,48,Autumn,28394,105,1.033361318,0.972036346,263,0.760456274,TRUE,1.033361318
Region 8,2011,48,Autumn,55608,124,0.937620445,1.019637462,575,3.304347826,FALSE,
Region 9,2011,48,Autumn,80718,220,1.533757007,1.215342303,405,1.975308642,TRUE,1.533757007
Region 10,2011,48,Autumn,18776,54,0.829684711,1.02258202,249,1.204819277,TRUE,0.829684711
Region 1,2011,49,Winter,52953,152,0.628389351,0.711952108,222,0.45045045,TRUE,0.628389351
Region 2,2011,49,Winter,122756,215,1.351730757,2.236957868,282,0.354609929,TRUE,1.351730757
Region 3,2011,49,Winter,111724,227,1.338442376,1.393612832,584,0.171232877,TRUE,1.338442376
Region 4,2011,49,Winter,121133,351,1.681596781,1.653554358,955,4.397905759,FALSE,
Region 5,2011,49,Winter,95513,294,1.005795517,1.147487777,376,0.531914894,TRUE,1.005795517
Region 6,2011,49,Winter,58265,153,1.963440086,2.069853257,770,2.467532468,FALSE,
Region 7,2011,49,Winter,26397,106,0.821730703,0.803121567,254,1.968503937,TRUE,0.821730703
Region 8,2011,49,Winter,54158,125,0.918248575,1.010007755,565,4.247787611,FALSE,
Region 9,2011,49,Winter,75807,221,2.334787266,1.724115187,455,2.637362637,FALSE,
Region 10,2011,49,Winter,18199,54,0.587594424,0.747293807,247,0.4048583,TRUE,0.587594424
Region 1,2011,50,Winter,53518,158,0.789790139,0.837101536,231,0.432900433,TRUE,0.789790139
Region 2,2011,50,Winter,122049,214,1.308953307,2.237625872,263,0.760456274,TRUE,1.308953307
Region 3,2011,50,Winter,110018,218,1.504284204,1.537021215,583,0.51457976,TRUE,1.504284204
Region 4,2011,50,Winter,119628,350,1.719427364,1.779683686,1007,3.277060576,FALSE,
Region 5,2011,50,Winter,87152,286,1.149130742,1.358545989,412,3.883495146,FALSE,
Region 6,2011,50,Winter,63530,148,2.111564405,2.288682512,796,0.753768844,TRUE,2.111564405
Region 7,2011,50,Winter,23221,99,1.433295493,1.434046768,322,3.726708075,FALSE,
Region 8,2011,50,Winter,55291,124,0.992110629,1.101445081,552,6.702898551,FALSE,
Region 9,2011,50,Winter,79032,224,2.56613275,1.74486284,465,3.870967742,FALSE,
Region 10,2011,50,Winter,15819,51,1.008575264,1.131550667,275,1.818181818,TRUE,1.008575264
Region 1,2011,51,Winter,45482,161,0.865889689,0.985005057,218,1.376146789,TRUE,0.865889689
Region 2,2011,51,Winter,113206,214,1.198984357,2.451283501,300,1,TRUE,1.198984357
Region 3,2011,51,Winter,101894,218,1.776945788,1.649753666,536,0.559701493,TRUE,1.776945788
Region 4,2011,51,Winter,102195,338,2.041083362,2.221243701,1073,4.007455732,FALSE,
Region 5,2011,51,Winter,79520,280,1.24805393,1.483903421,414,5.314009662,FALSE,
Region 6,2011,51,Winter,58379,147,2.240222178,2.363863718,892,1.457399103,TRUE,2.240222178
Region 7,2011,51,Winter,19694,102,1.413924483,1.365898243,301,6.644518272,FALSE,
Region 8,2011,51,Winter,49753,123,1.027362598,1.137619842,601,8.319467554,FALSE,
Region 9,2011,51,Winter,61275,216,3.050141521,2.007343941,494,6.477732794,FALSE,
Region 10,2011,51,Winter,14026,52,1.153620061,1.133609012,322,2.48447205,FALSE,
Region 1,2011,52,Winter,34829,151,1.00526097,1.171437595,245,3.673469388,FALSE,
Region 2,2011,52,Winter,104302,202,1.179785778,2.547410404,310,0,TRUE,1.179785778
Region 3,2011,52,Winter,99881,221,2.14289326,1.940308968,631,0.475435816,TRUE,2.14289326
Region 4,2011,52,Winter,92520,345,2.294210788,2.61997406,1079,3.521779425,FALSE,
Region 5,2011,52,Winter,71142,280,1.544440034,1.927131652,477,5.450733753,FALSE,
Region 6,2011,52,Winter,52217,140,2.293858752,2.483865408,1024,1.85546875,TRUE,2.293858752
Region 7,2011,52,Winter,18371,100,1.893733713,1.861629743,305,7.540983607,FALSE,
Region 8,2011,52,Winter,46443,119,1.106908904,1.2832935,606,5.775577558,FALSE,
Region 9,2011,52,Winter,50050,209,3.688164958,2.291708292,466,3.862660944,FALSE,
Region 10,2011,52,Winter,11942,54,1.250394632,1.473789985,327,3.363914373,FALSE,
Region 1,2012,1,Winter,43770,161,0.910656849,0.957276674,285,1.052631579,TRUE,0.910656849
Region 2,2012,1,Winter,116626,217,1.308253526,2.260216418,327,1.22324159,TRUE,1.308253526
Region 3,2012,1,Winter,106277,224,1.69662038,1.673927567,697,0.717360115,TRUE,1.69662038
Region 4,2012,1,Winter,116249,355,1.640285864,1.778079811,993,2.114803625,FALSE,
Region 5,2012,1,Winter,81109,288,1.246437703,1.528806914,564,6.382978723,FALSE,
Region 6,2012,1,Winter,63347,159,2.137774709,2.281086713,943,1.484623542,TRUE,2.137774709
Region 7,2012,1,Winter,22751,102,1.479525455,1.375763703,337,5.341246291,FALSE,
Region 8,2012,1,Winter,52009,121,1.054366625,1.217097041,685,6.131386861,FALSE,
Region 9,2012,1,Winter,61883,211,2.996361468,2.086194916,492,5.081300813,FALSE,
Region 10,2012,1,Winter,14610,53,1.092053875,1.156741958,367,4.08719346,FALSE,
Region 1,2012,2,Winter,48944,158,0.800414247,0.929633867,285,2.456140351,FALSE,
Region 2,2012,2,Winter,117127,212,1.047921944,1.827076592,347,1.152737752,TRUE,1.047921944
Region 3,2012,2,Winter,110157,220,1.513823442,1.373494195,600,1.166666667,TRUE,1.513823442
Region 4,2012,2,Winter,138049,355,1.498469395,1.614644076,914,3.829321663,FALSE,
Region 5,2012,2,Winter,93497,289,1.155408004,1.345497717,506,9.881422925,FALSE,
Region 6,2012,2,Winter,64281,156,2.077733737,2.153046779,905,2.983425414,FALSE,
Region 7,2012,2,Winter,26039,104,1.498956598,1.397903145,318,7.547169811,FALSE,
Region 8,2012,2,Winter,57394,124,1.096942739,1.219639684,646,6.191950464,FALSE,
Region 9,2012,2,Winter,75175,214,2.505727763,1.805121383,457,7.221006565,FALSE,
Region 10,2012,2,Winter,17231,51,0.736409535,0.8298996,363,2.203856749,FALSE,
Region 1,2012,3,Winter,47052,157,0.838437637,0.920258437,283,1.766784452,TRUE,0.838437637
Region 2,2012,3,Winter,113315,212,1.142578422,1.960022945,337,3.857566766,FALSE,
Region 3,2012,3,Winter,107408,223,1.568933223,1.531543274,639,2.503912363,FALSE,
Region 4,2012,3,Winter,132649,359,1.715681247,1.769331092,887,2.931228861,FALSE,
Region 5,2012,3,Winter,88562,286,1.179793037,1.411440573,462,10.60606061,FALSE,
Region 6,2012,3,Winter,64895,155,2.188538435,2.242083365,840,3.69047619,FALSE,
Region 7,2012,3,Winter,25804,103,1.601027007,1.577274841,306,5.555555556,FALSE,
Region 8,2012,3,Winter,54606,124,1.133807387,1.245284401,724,10.08287293,FALSE,
Region 9,2012,3,Winter,77897,217,2.368017054,1.72792277,525,12.95238095,FALSE,
Region 10,2012,3,Winter,12435,51,1.14828904,1.246481705,361,6.094182825,FALSE
Region 1,2012,4,Winter,54105,155,0.819739075,0.898253396,304,2.631578947,FALSE
Region 2,2012,4,Winter,116761,209,1.048183794,1.845650517,324,2.160493827,FALSE
Region 3,2012,4,Winter,116885,223,1.474058226,1.415921632,695,2.877697842,FALSE
Region 4,2012,4,Winter,143913,360,1.746810154,1.814985443,1026,6.04288499,FALSE
Region 5,2012,4,Winter,98408,287,1.269902086,1.458214779,521,15.16314779,FALSE
Region 6,2012,4,Winter,70730,160,2.353206587,2.321504312,852,5.633802817,FALSE
Region 7,2012,4,Winter,28884,106,1.756293706,1.606425703,361,13.01939058,FALSE
Region 8,2012,4,Winter,58132,123,1.288281819,1.422624372,816,11.39705882,FALSE
Region 9,2012,4,Winter,78511,213,3.012766779,2.189502108,562,15.83629893,FALSE
Region 10,2012,4,Winter,17915,55,1.062704626,1.194529724,379,5.277044855,FALSE
Region 1,2012,5,Winter,54734,155,0.771311554,0.855044397,208,5.288461538,FALSE
Region 2,2012,5,Winter,117459,216,1.091205662,1.837236823,364,7.417582418,FALSE
Region 3,2012,5,Winter,113204,219,1.533934787,1.542348327,645,2.325581395,FALSE
Region 4,2012,5,Winter,144708,365,1.816945244,1.984686403,965,5.803108808,FALSE
Region 5,2012,5,Winter,93039,276,1.45573776,1.783123206,589,21.22241087,FALSE
Region 6,2012,5,Winter,71748,154,2.451973774,2.383341696,1041,6.820365034,FALSE
Region 7,2012,5,Winter,27828,104,2.590912699,2.310622395,433,23.09468822,FALSE
Region 8,2012,5,Winter,57368,123,1.499217694,1.723957607,1055,13.55450237,FALSE
Region 9,2012,5,Winter,77717,217,3.340765991,2.52325746,586,16.38225256,FALSE
Region 10,2012,5,Winter,17493,56,1.231114389,1.383410507,365,9.863013699,FALSE
Region 1,2012,6,Winter,54491,157,0.846265623,0.871703584,242,4.132231405,FALSE
Region 2,2012,6,Winter,118222,214,1.04782421,1.802540982,361,4.432132964,FALSE
Region 3,2012,6,Winter,115469,218,1.602633222,1.44800769,638,3.761755486,FALSE
Region 4,2012,6,Winter,146187,365,1.915180636,2.061058781,974,7.289527721,FALSE
Region 5,2012,6,Winter,91428,274,1.396722073,1.63844774,623,26.96629213,FALSE
Region 6,2012,6,Winter,73246,158,2.687752383,2.643147749,1052,8.840304183,FALSE
Region 7,2012,6,Winter,28367,102,2.81844542,2.633341559,444,18.91891892,FALSE
Region 8,2012,6,Winter,57376,119,1.556700363,1.760317903,1037,14.94696239,FALSE
Region 9,2012,6,Winter,81415,214,2.934383776,2.349689861,664,23.79518072,FALSE
Region 10,2012,6,Winter,18315,54,1.189428369,1.25034125,378,7.936507937,FALSE
Region 1,2012,7,Winter,55161,160,0.902132412,0.870180018,250,4,FALSE
Region 2,2012,7,Winter,117752,212,1.092347039,1.84880087,372,11.82795699,FALSE
Region 3,2012,7,Winter,113993,215,1.692732679,1.601852745,699,8.011444921,FALSE
Region 4,2012,7,Winter,145472,366,2.047340155,2.156428729,1179,9.584393554,FALSE
Region 5,2012,7,Winter,95722,275,1.554730787,1.968199578,699,29.89985694,FALSE
Region 6,2012,7,Winter,71505,156,3.039241596,2.976015663,1193,10.72925398,FALSE
Region 7,2012,7,Winter,28489,104,3.146603365,2.944996314,477,20.75471698,FALSE
Region 8,2012,7,Winter,57338,122,1.63853782,1.885311661,1205,16.26556017,FALSE
Region 9,2012,7,Winter,85701,218,3.171317626,2.418874926,792,22.47474747,FALSE
Region 10,2012,7,Winter,18060,56,1.521154975,1.683277962,432,11.57407407,FALSE
Region 1,2012,8,Winter,44971,150,0.949344201,0.998421205,229,7.423580786,FALSE
Region 2,2012,8,Winter,116416,213,1.310950585,2.059854316,340,11.17647059,FALSE
Region 3,2012,8,Winter,114374,213,1.522146264,1.521324777,637,10.83202512,FALSE
Region 4,2012,8,Winter,146801,366,1.986335777,1.976144577,1242,13.76811594,FALSE
Region 5,2012,8,Winter,95781,274,1.773225416,2.258276694,886,37.02031603,FALSE
Region 6,2012,8,Winter,70265,158,3.336322302,3.138119974,1312,16.08231707,FALSE
Region 7,2012,8,Winter,26749,98,3.03559284,3.016935213,494,25.30364372,FALSE
Region 8,2012,8,Winter,56729,119,1.850777816,2.083590403,1262,17.98732171,FALSE
Region 9,2012,8,Winter,77642,212,3.659570035,2.622292058,689,27.86647315,FALSE
Region 10,2012,8,Winter,17294,50,1.403233933,1.480282179,505,12.87128713,FALSE
Region 1,2012,9,Winter,50379,148,0.803367558,0.827725838,275,9.818181818,FALSE
Region 2,2012,9,Winter,119186,209,1.212258918,1.85843975,396,14.39393939,FALSE
Region 3,2012,9,Winter,111782,213,1.711501896,1.512765919,644,13.50931677,FALSE
Region 4,2012,9,Winter,143219,355,2.057881217,2.091901214,1373,16.31463948,FALSE
Region 5,2012,9,Winter,94051,264,1.811716088,2.306195575,980,43.87755102,FALSE
Region 6,2012,9,Winter,76908,155,3.499914485,3.329952671,1486,19.65006729,FALSE
Region 7,2012,9,Winter,27089,95,3.443096738,3.385137879,635,34.80314961,FALSE
Region 8,2012,9,Winter,63405,120,1.698123208,1.916252661,1367,22.89685443,FALSE
Region 9,2012,9,Winter,83552,214,3.141225799,2.429624665,852,34.74178404,FALSE
Region 10,2012,9,Winter,18671,53,1.485269932,1.644261154,477,15.51362683,FALSE
Region 1,2012,10,Spring,50982,153,0.77428354,0.747322584,275,14.18181818,FALSE
Region 2,2012,10,Spring,121718,208,1.288758521,1.813207578,326,20.85889571,FALSE
Region 3,2012,10,Spring,111105,215,1.581617749,1.542684848,808,22.52475248,FALSE
Region 4,2012,10,Spring,133623,356,2.255091298,2.287031424,1264,16.29746835,FALSE
Region 5,2012,10,Spring,90581,252,2.047529459,2.712489374,916,50.32751092,FALSE
Region 6,2012,10,Spring,64822,151,3.359280384,3.219585943,1345,24.23791822,FALSE
Region 7,2012,10,Spring,26953,98,3.126688962,3.187029273,852,46.00938967,FALSE
Region 8,2012,10,Spring,58782,119,1.79065014,1.992106427,1354,26.88330871,FALSE
Region 9,2012,10,Spring,72535,211,2.497560746,2.113462466,809,31.52039555,FALSE
Region 10,2012,10,Spring,18097,53,1.578724642,1.64668177,510,17.84313725,FALSE
Region 1,2012,11,Spring,45381,152,0.858635242,0.89464754,277,18.41155235,FALSE
Region 2,2012,11,Spring,122621,207,1.305374132,2.012705817,306,29.41176471,FALSE
Region 3,2012,11,Spring,110577,212,1.866209282,1.518398944,743,28.26379542,FALSE
Region 4,2012,11,Spring,133417,348,2.168342584,2.278570197,1351,16.95040711,FALSE
Region 5,2012,11,Spring,89752,261,2.395831267,3.130849452,1033,53.14617619,FALSE
Region 6,2012,11,Spring,68288,154,4.106562508,3.797153233,1293,22.42846094,FALSE
Region 7,2012,11,Spring,25202,100,2.648343578,2.694230617,816,44.11764706,FALSE
Region 8,2012,11,Spring,55819,115,2.20176517,2.371952203,1454,29.36726272,FALSE
Region 9,2012,11,Spring,79580,217,2.819322045,2.253078663,1009,36.47175421,FALSE
Region 10,2012,11,Spring,16933,53,1.872476414,2.114214847,540,25.18518519,FALSE
Region 1,2012,12,Spring,49465,149,0.831096575,0.956231679,295,24.74576271,FALSE
Region 2,2012,12,Spring,123959,200,1.1761652,1.895788123,296,29.72972973,FALSE
Region 3,2012,12,Spring,116334,209,1.438564618,1.383946224,658,26.74772036,FALSE
Region 4,2012,12,Spring,138565,344,1.879428983,1.871323927,1470,14.55782313,FALSE
Region 5,2012,12,Spring,91596,255,1.88008355,2.37346609,890,46.96629213,FALSE
Region 6,2012,12,Spring,70099,152,2.938485761,2.814590793,1010,17.82178218,FALSE
Region 7,2012,12,Spring,23383,96,1.693871249,1.69353804,557,28.9048474,FALSE
Region 8,2012,12,Spring,55474,116,1.590294776,1.694487508,1228,29.07166124,FALSE
Region 9,2012,12,Spring,70152,207,2.621727678,2.33350439,956,35.66945607,FALSE
Region 10,2012,12,Spring,16552,52,2.189322656,2.283711938,614,30.45602606,FALSE
Region 1,2012,13,Spring,51256,147,0.621933063,0.698454815,234,19.23076923,FALSE
Region 2,2012,13,Spring,120664,196,1.071654674,1.805841013,273,17.21611722,FALSE
Region 3,2012,13,Spring,111001,200,1.394293218,1.296384717,620,14.19354839,FALSE
Region 4,2012,13,Spring,137706,341,1.653265108,1.602689788,1566,12.13282248,FALSE
Region 5,2012,13,Spring,90882,253,1.346510036,1.684602011,640,31.875,FALSE
Region 6,2012,13,Spring,71137,146,2.565597092,2.565472258,1067,13.87066542,FALSE
Region 7,2012,13,Spring,22358,95,1.208995991,1.221039449,354,16.10169492,FALSE
Region 8,2012,13,Spring,51754,112,1.460888531,1.657842872,1081,24.51433858,FALSE
Region 9,2012,13,Spring,75580,214,3.432650108,2.7454353,943,33.72216331,FALSE
Region 10,2012,13,Spring,14741,49,1.768873345,1.845193677,672,36.30952381,FALSE
Region 1,2012,14,Spring,50024,148,0.751500051,0.875579722,245,22.85714286,FALSE
Region 2,2012,14,Spring,115327,193,1.272756378,1.89547981,355,14.64788732,FALSE
Region 3,2012,14,Spring,105114,201,1.285113071,1.241509219,549,20.94717668,FALSE
Region 4,2012,14,Spring,123687,338,1.562450314,1.603240438,1136,14.70070423,FALSE
Region 5,2012,14,Spring,84855,247,1.443578102,1.725296093,571,28.8966725,FALSE
Region 6,2012,14,Spring,65583,139,2.364810046,2.38628913,957,13.68861024,FALSE
Region 7,2012,14,Spring,22671,91,0.886149057,0.930704424,349,10.88825215,FALSE
Region 8,2012,14,Spring,51080,118,1.207872272,1.358653093,868,23.96313364,FALSE
Region 9,2012,14,Spring,76727,204,2.708982233,2.318610137,990,30.90909091,FALSE
Region 10,2012,14,Spring,16740,50,1.587221477,1.821983274,675,35.55555556,FALSE
Region 1,2012,15,Spring,49834,146,0.857187318,0.915037926,310,29.67741935,FALSE
Region 2,2012,15,Spring,113885,194,1.146145221,1.78249989,227,23.34801762,FALSE
Region 3,2012,15,Spring,109113,198,1.181905615,1.134603576,551,21.05263158,FALSE
Region 4,2012,15,Spring,129693,331,1.437125104,1.360135088,1250,9.04,FALSE
Region 5,2012,15,Spring,86230,240,1.150463918,1.5145541,546,26.92307692,FALSE
Region 6,2012,15,Spring,68410,142,1.939993218,2.020172489,781,12.80409731,FALSE
Region 7,2012,15,Spring,23645,91,0.79033414,0.748572637,339,7.079646018,FALSE
Region 8,2012,15,Spring,51444,114,1.116951198,1.246015084,826,22.76029056,FALSE
Region 9,2012,15,Spring,68063,201,2.582799623,2.051040947,815,28.2208589,FALSE
Region 10,2012,15,Spring,16885,50,1.945097549,2.02546639,659,34.29438543,FALSE
Region 1,2012,16,Spring,42559,139,0.778563915,0.895227801,311,33.44051447,FALSE
Region 2,2012,16,Spring,125558,189,1.083681987,1.603243123,265,20,FALSE
Region 3,2012,16,Spring,114352,203,1.093478967,1.061634252,606,23.76237624,FALSE
Region 4,2012,16,Spring,129449,331,1.390233432,1.336433653,918,11.65577342,FALSE
Region 5,2012,16,Spring,89176,246,1.035103357,1.327711492,464,28.6637931,FALSE
Region 6,2012,16,Spring,70270,146,2.016357702,2.063469475,820,7.56097561,FALSE
Region 7,2012,16,Spring,23189,86,0.751912698,0.711544267,282,10.63829787,FALSE
Region 8,2012,16,Spring,53255,114,0.945417231,1.062811004,726,12.12121212,FALSE
Region 9,2012,16,Spring,68360,197,1.984707476,1.648624927,684,36.11111111,FALSE
Region 10,2012,16,Spring,16312,48,1.581871342,1.796223639,613,33.60522023,FALSE
Region 1,2012,17,Spring,47788,135,0.571679963,0.673809325,265,26.79245283,FALSE
Region 2,2012,17,Spring,116055,192,0.948648366,1.425186334,207,19.3236715,FALSE
Region 3,2012,17,Spring,110387,202,1.062144143,1.037259822,415,20.48192771,FALSE
Region 4,2012,17,Spring,127258,324,1.311899316,1.230570966,900,14.11111111,FALSE
Region 5,2012,17,Spring,88929,248,0.935814616,1.251560233,394,22.33502538,FALSE
Region 6,2012,17,Spring,67047,135,1.935037883,1.924023446,667,6.296851574,FALSE
